Row ID,USEEIO Sector Name,USEEIO Sector Code,Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas,Emissions (kg),Emissions Intensity (kg/USD_2022),AR5-100 GWP,Emissions (kgCO2e),Emissions (MTCO2e),Contribution to USEEIO Sector's Scope 1 (%),Attribution Sources
1,Oilseed farming,1111A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,78355666.5598436,0.0020503366799205463,265.0,20764251638.358555,20764.251638358553,0.572594802268853,USDA_CoA_Cropland
2,Oilseed farming,1111A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,30101142.10673499,0.0007876581041117593,265.0,7976802658.284773,7976.802658284773,0.21996823292299958,Detail_Use_2022
3,Oilseed farming,1111A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Liming,Liming,,Carbon dioxide,Carbon dioxide,3300174050.632899,0.08635582087693372,1.0,3300174050.632899,3300.174050632899,0.09100556768846425,Detail_Use_2022
4,Oilseed farming,1111A0,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,2121506529.9462225,0.05551356839926268,1.0,2121506529.9462225,2121.5065299462226,0.05850264354254698,Detail_Use_2022
5,Oilseed farming,1111A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,6130691.328160705,0.00016042210927780785,265.0,1624633201.9625869,1624.6332019625868,0.04480086945771184,Detail_Use_2022
6,Oilseed farming,1111A0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,365469840.3059018,0.009563267749264753,1.0,365469840.3059018,365.4698403059018,0.0100781927800664,Detail_Use_2022
7,Oilseed farming,1111A0,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,367732.5193735636,9.622475386580584e-06,265.0,97449117.63399436,97.44911763399436,0.0026872559249779045,Detail_Use_2022
8,Oilseed farming,1111A0,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,316393.23112361226,8.279077640873253e-06,28.0,8859010.471461143,8.859010471461144,0.0002442959870430943,Detail_Use_2022
9,Oilseed farming,1111A0,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,9699.941702916536,2.538188639029866e-07,265.0,2570484.551272882,2.570484551272882,7.088365711443423e-05,Detail_Use_2022
10,Oilseed farming,1111A0,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,61202.0115881503,1.6014761248730977e-06,28.0,1713656.3244682085,1.7136563244682084,4.725577022255789e-05,Detail_Use_2022
11,Grain farming,1111B0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,225898025.83998635,0.003903003314557973,265.0,59862976847.59638,59862.97684759638,0.44204115372214997,Detail_Use_2022
12,Grain farming,1111B0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,122477971.09418197,0.0021161403485639102,265.0,32456662339.95822,32456.66233995822,0.23966700659159512,USDA_CoA_Cropland
13,Grain farming,1111B0,Process & Fugitive Gases,Agriculture,Agricultural Processes,Rice Cultivation,Rice Cultivation,,Methane,Methane,674976423.662912,0.011662055075553958,28.0,18899339862.561535,18899.339862561534,0.13955680852127822,Direct
