Row ID,USEEIO Sector Name,USEEIO Sector Code,NAICS Sector Code,Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas,Emissions (kg),Emissions Intensity (kg/USD_2022),AR5-100 GWP,Emissions (kgCO2e),Emissions (MTCO2e),Contribution to USEEIO Sector's Scope 1 (%),Attribution Sources
1,Oilseed farming,1111A0,11111,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,74482881.19941692,0.0019489973100119563,265.0,,19737963.517845485,0.5443225984714318,USDA_CoA_Cropland
2,Oilseed farming,1111A0,11111,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,15049777.288742619,0.000393808281576895,265.0,,3988190.981516794,0.10998411646149975,Detail_Use_2022
3,Oilseed farming,1111A0,11111,Process & Fugitive Gases,Agriculture,Agricultural Processes,Liming,Liming,,Carbon dioxide,Carbon dioxide,1650000000.0,0.043175633242620894,1.0,,1650000.0,0.04550278384423211,Detail_Use_2022
4,Oilseed farming,1111A0,11111,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1060697321.0215846,0.027755320311429365,1.0,,1060697.3210215846,0.029251321771273483,Detail_Use_2022
5,Oilseed farming,1111A0,11111,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,3065183.998257671,8.020682432116577e-05,265.0,,812273.7595382829,0.022400434728855917,Detail_Use_2022
6,Oilseed farming,1111A0,11111,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,182725282.74352422,0.0047813816920537,1.0,,182725.28274352424,0.0050390963900332,Detail_Use_2022
7,Oilseed farming,1111A0,11111,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,183856.56261069543,4.810983949411122e-06,265.0,,48721.98909183429,0.001343627962488952,Detail_Use_2022
8,Oilseed farming,1111A0,11111,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Methane,Methane,158188.27229849985,4.139320501844773e-06,28.0,,4429.271624357995,0.00012214799352154712,Detail_Use_2022
9,Oilseed farming,1111A0,11111,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,4849.715064798751,1.2690273876906927e-07,265.0,,1285.1744921716688,3.544182855721711e-05,Detail_Use_2022
10,Oilseed farming,1111A0,11111,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,30599.391902097308,8.006958316437437e-07,28.0,,856.7829732587247,2.3627885111278943e-05,Detail_Use_2022
11,Oilseed farming,1111A0,11112,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Organic Amendment Cropland | Residue N Cropland | Synthetic Fertilizer Cropland,,Nitrous oxide,Nitrous oxide,15049777.288742619,0.000393808281576895,265.0,,3988190.981516794,0.10998411646149975,Detail_Use_2022
12,Oilseed farming,1111A0,11112,Process & Fugitive Gases,Agriculture,Agricultural Processes,Liming,Liming,,Carbon dioxide,Carbon dioxide,1650000000.0,0.043175633242620894,1.0,,1650000.0,0.04550278384423211,Detail_Use_2022
13,Oilseed farming,1111A0,11112,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1060697321.0215846,0.027755320311429365,1.0,,1060697.3210215846,0.029251321771273483,Detail_Use_2022
14,Oilseed farming,1111A0,11112,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Cropland,Mineralization and Asymbiotic Fixation Cropland | Drained Organic Soils Cropland,,Nitrous oxide,Nitrous oxide,3868652.8955485537,0.00010123123549164103,265.0,,1025193.0173203667,0.028272203797421066,USDA_CoA_Cropland
15,Oilseed farming,1111A0,11112,Process & Fugitive Gases,Agriculture,Agricultural Processes,Agricultural Soils - Fertilizer Use,Volatilization & Atm. Deposition Cropland | Surface Leaching & Run-Off Cropland,,Nitrous oxide,Nitrous oxide,3065183.998257671,8.020682432116577e-05,265.0,,812273.7595382829,0.022400434728855917,Detail_Use_2022
16,Oilseed farming,1111A0,11112,Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide,182725282.74352422,0.0047813816920537,1.0,,182725.28274352424,0.0050390963900332,Detail_Use_2022
17,Oilseed farming,1111A0,11112,Fuel Combustion,Energy,Mobile Combustion,Other Non-Road Vehicles,Agricultural Equipment Non-Road,Aggregated Fossil Fuels,Nitrous oxide,Nitrous oxide,183856.56261069543,4.810983949411122e-06,265.0,,48721.98909183429,0.001343627962488952,Detail_Use_2022
