"","2022IndustryOutput"
"1111A0/US",39536941640.4882
"1111B0/US",52327664983.6892
"111200/US",12015181684.0328
"111300/US",26295402534.2606
"111400/US",16918141042.6108
"111900/US",19965965402.1535
"112120/US",40998190171.2376
"1121A0/US",97746263191.1848
"112300/US",41751172832.0461
"112A00/US",31446622445.5704
"113000/US",22811235150.0869
"114000/US",7860448031.8875
"115000/US",25584185885.8389
"211000/US",356194400217.157
"212100/US",34054934517.3197
"212230/US",12929209660.4048
"2122A0/US",14627147033.4367
"212310/US",18481042142.5057
"2123A0/US",18474500446.2669
"213111/US",10723715059.1793
"21311A/US",61281008327.6278
"221100/US",409669264704.005
"221200/US",84109744007.4999
"221300/US",14669768101.8222
"233210/US",42623748477.084
"233262/US",72258934423.3182
"230301/US",210349786770.184
"230302/US",59362696061.7497
"2332A0/US",148328166864.718
"233412/US",88444683381.4606
"2334A0/US",259385072874.597
"233230/US",71347843195.7986
"2332D0/US",93235079405.4942
"233240/US",94106521584.527
"233411/US",300405892546.507
"2332C0/US",128251737885.16
"321100/US",39508330174.6768
"321200/US",20629746600.1261
"321910/US",26164117828.5094
"3219A0/US",31181856741.5233
"327100/US",8297756338.47822
"327200/US",24062658502.6762
"327310/US",8344798905.26897
"327320/US",32322891161.2357
"327330/US",6390349269.8283
"327390/US",11689244816.6677
"327400/US",7603270701.42408
"327910/US",3067768394.2684
"327991/US",5104147069.97603
"327992/US",3747660417.65191
"327993/US",8796806269.17532
"327999/US",4402123885.7574
"331110/US",87976677786.0897
"331200/US",21921871606.0941
"331313/US",2225807043.575
"33131B/US",29364300860.5066
"331410/US",14097475607.8136
"331420/US",26285274482.565
"331490/US",11668231405.1669
"331510/US",14504366281.0413
"331520/US",12185325884.7302
"332114/US",5075280390.65818
"33211A/US",9936414490.42869
"332119/US",10888132400.367
"332200/US",8607742350.17586
"332310/US",37944011177.7174
"332320/US",39090284131.928
"332410/US",5186640145.42171
"332420/US",5468132697.3822
"332430/US",13831565873.5928
"332500/US",7931914049.24558
"332600/US",6422535886.23605
"332710/US",38972273364.3071
"332720/US",24133237832.3944
"332800/US",27304076531.0846
"332913/US",4717058692.81036
"33291A/US",23060609721.9992
"332991/US",5103348161.15765
"332996/US",5165278312.00683
"33299A/US",17958371201.3094
