"","2022IndustryOutput"
"1111A0/US",39536941640.4882
"1111B0/US",52327664983.6892
"111200/US",12015181684.0328
"111300/US",26295402534.2606
"111400/US",16864291861.9699
"111900/US",19965965402.1535
"112120/US",40998190171.2376
"1121A0/US",97746263191.1848
"112300/US",41751172832.0461
"112A00/US",31468942224.5427
"113000/US",23706211746.3211
"114000/US",7841208298.371
"115000/US",26433793519.5372
"211000/US",355897236062.015
"212100/US",34054934517.3197
"212230/US",12929209660.4048
"2122A0/US",14609507698.4438
"212310/US",18498467000.1614
"2123A0/US",18566180982.2225
"213111/US",13433985313.8403
"21311A/US",65188099034.5359
"221100/US",406258045657.368
"221200/US",81890390242.2987
"221300/US",14743419303.3768
"233210/US",42328441792.6202
"233262/US",71669310071.3719
"230301/US",210697978837.793
"230302/US",59196297417.1975
"2332A0/US",147144479735.566
"233412/US",88323597611.7184
"2334A0/US",259200445148.311
"233230/US",70968202686.6179
"2332D0/US",92845421726.2882
"233240/US",95084999707.0419
"233411/US",297388640242.356
"2332C0/US",128164542330.04
"321100/US",40175825240.3671
"321200/US",20576308610.1292
"321910/US",26108364164.448
"3219A0/US",31100680927.5196
"327100/US",8260661469.44537
"327200/US",24132855286.7457
"327310/US",8349180626.06453
"327320/US",32319090036.5667
"327330/US",6394731413.64056
"327390/US",11683158334.4136
"327400/US",7580607781.22194
"327910/US",3065890090.7326
"327991/US",5101274202.78644
"327992/US",3797400172.36426
"327993/US",8796806269.17532
"327999/US",4431130305.49754
"331110/US",87948781088.4019
"331200/US",22074379656.4251
"331314/US",5935818957.5218
"331313/US",2166365982.16018
"33131B/US",29420075406.081
"331410/US",14399947618.6969
"331420/US",26297146017.2031
"331490/US",11709850215.5929
"331510/US",14498497931.707
"331520/US",12222301529.2375
"332114/US",5051416396.72153
"33211A/US",10001330406.4392
"332119/US",10778879704.7861
"332200/US",8608916742.48931
"332310/US",37772591606.612
"332320/US",39119416756.553
"332410/US",5189605143.37733
"332420/US",5448710096.28341
"332430/US",13817350050.8302
"332500/US",7927597329.3142
"332600/US",6399985532.66904
"332710/US",39270954661.1449
"332720/US",24053582715.8425
"332800/US",27325553045.2026
"332913/US",4715657193.88894
"33291A/US",23057320857.6632
"332991/US",5103827461.50447
"332996/US",5164937663.31783
