"","2022"
"1111A0/US",6.2551e+10
"1111B0/US",1.02501e+11
"111200/US",1.8646e+10
"111300/US",2.953e+10
"111400/US",2.7236e+10
"111900/US",3.3321e+10
"112120/US",5.8898e+10
"1121A0/US",1.17448e+11
"112300/US",7.6003e+10
"112A00/US",3.8574e+10
"113000/US",2.7306e+10
"114000/US",1.084e+10
"115000/US",2.9793e+10
"211000/US",6.39316e+11
"212100/US",5.185e+10
"212230/US",1.8507e+10
"2122A0/US",2.1245e+10
"212310/US",2.2927e+10
"2123A0/US",2.2694e+10
"213111/US",1.0117e+10
"21311A/US",7.4407e+10
"221100/US",5.59062e+11
"221200/US",1.24543e+11
"221300/US",1.7744e+10
"233210/US",5.7747e+10
"233262/US",9.7605e+10
"230301/US",2.70414e+11
"230302/US",8.0195e+10
"2332A0/US",2.16348e+11
"233412/US",1.09319e+11
"2334A0/US",3.63342e+11
"233230/US",1.04341e+11
"2332D0/US",1.21647e+11
"233240/US",1.13599e+11
"233411/US",4.33893e+11
"2332C0/US",1.66314e+11
"321100/US",4.9767e+10
"321200/US",3.8767e+10
"321910/US",3.7754e+10
"3219A0/US",4.7775e+10
"327100/US",1.0183e+10
"327200/US",2.9347e+10
"327310/US",1.0098e+10
"327320/US",4.0745e+10
"327330/US",8.37e+09
"327390/US",1.6223e+10
"327400/US",1.0467e+10
"327910/US",3.869e+09
"327991/US",6.858e+09
"327992/US",4.23e+09
"327993/US",1.1899e+10
"327999/US",5.007e+09
"331110/US",1.42864e+11
"331200/US",3.5851e+10
"331314/US",8e+09
"331313/US",3.014e+09
"33131B/US",3.5192e+10
"331410/US",1.7594e+10
"331420/US",3.5189e+10
"331490/US",1.5018e+10
"331510/US",1.8436e+10
"331520/US",1.3699e+10
"332114/US",9.294e+09
"33211A/US",1.2028e+10
"332119/US",1.4488e+10
"332200/US",1.0124e+10
"332310/US",6.4417e+10
"332320/US",6.0204e+10
"332410/US",7.297e+09
"332420/US",8.896e+09
"332430/US",2.1203e+10
"332500/US",1.0888e+10
"332600/US",1.0617e+10
"332710/US",4.5517e+10
"332720/US",3.1585e+10
"332800/US",3.3623e+10
"332913/US",5.914e+09
"33291A/US",2.9497e+10
"332991/US",6.238e+09
"332996/US",7.254e+09
"33299A/US",2.0155e+10
"332999/US",2.0808e+10
"333111/US",3.7032e+10
"333112/US",1.0176e+10
"333120/US",4.1457e+10
"333130/US",1.7658e+10
"333242/US",1.311e+10
"33329A/US",3.4198e+10
"333314/US",6.934e+09
"333316/US",1.312e+09
"333318/US",2.2717e+10
"333414/US",5.905e+09
"333415/US",4.1082e+10
"333413/US",8.503e+09
"333511/US",7.18e+09
"333514/US",9.323e+09
"333517/US",8.95e+09
"33351B/US",9.843e+09
"333611/US",9.738e+09
"333612/US",3.759e+09
"333613/US",4.368e+09
"333618/US",2.7095e+10
"333912/US",8.455e+09
"333914/US",1.7138e+10
"333920/US",4.1766e+10
"333991/US",4.341e+09
"333993/US",8.757e+09
"333994/US",2.84e+09
"33399A/US",2.6747e+10
"33399B/US",1.2466e+10
"334111/US",2.292e+10
"334112/US",5.847e+09
"334118/US",1.1323e+10
"334210/US",6.502e+09
"334220/US",3.5248e+10
"334290/US",5.38e+09
"334413/US",8.1501e+10
"334418/US",2.7367e+10
"33441A/US",3.7145e+10
"334510/US",3.8979e+10
"334511/US",5.8691e+10
"334512/US",2.529e+09
"334513/US",1.3695e+10
"334514/US",4.745e+09
"334515/US",1.2797e+10
"334516/US",1.9185e+10
"334517/US",7.852e+09
"33451A/US",1.4526e+10
"334300/US",5.357e+09
"334610/US",2.141e+09
"335110/US",8.96e+08
"335120/US",1.2979e+10
"335210/US",3.732e+09
"335220/US",2.462e+10
"335311/US",7.019e+09
"335312/US",1.3291e+10
"335313/US",1.74e+10
"335314/US",1.0929e+10
"335911/US",9.151e+09
"335912/US",2.967e+09
"335920/US",1.524e+10
"335930/US",1.7309e+10
"335991/US",4.146e+09
"335999/US",1.6103e+10
"336111/US",3.8777e+10
"336112/US",3.18315e+11
"336120/US",3.397e+10
"336211/US",2.0197e+10
"336212/US",1.5134e+10
"336213/US",9.274e+09
"336214/US",3.645e+10
"336310/US",3.6458e+10
"336320/US",2.7258e+10
"336350/US",4.6362e+10
"336360/US",2.9084e+10
"336370/US",3.9657e+10
"336390/US",6.4029e+10
"3363A0/US",2.7797e+10
"336411/US",1.18725e+11
"336412/US",5.9086e+10
"336413/US",3.3835e+10
"336414/US",3.4867e+10
"33641A/US",1.3293e+10
"336500/US",9.9e+09
"336611/US",3.3118e+10
"336612/US",1.4353e+10
"336991/US",8.037e+09
"336992/US",9.114e+09
"336999/US",1.1338e+10
"337110/US",1.836e+10
"337121/US",1.2615e+10
"337122/US",3.644e+09
"337127/US",4.784e+09
"33712N/US",3.787e+09
"337215/US",8.81e+09
"33721A/US",1.9233e+10
"337900/US",1.0888e+10
"339112/US",4.555e+10
"339113/US",4.3505e+10
"339114/US",5.942e+09
"339115/US",9.062e+09
"339116/US",7.809e+09
"339910/US",8.961e+09
"339920/US",1.2977e+10
"339930/US",1.739e+09
"339940/US",3.308e+09
"339950/US",1.4415e+10
"339990/US",3.508e+10
"311111/US",2.5626e+10
"311119/US",4.2296e+10
"311210/US",2.2224e+10
"311221/US",1.3277e+10
"311225/US",1.5795e+10
"311224/US",4.9693e+10
"311230/US",1.157e+10
"311300/US",4.0622e+10
"311410/US",3.6825e+10
"311420/US",3.5804e+10
"311513/US",6.1619e+10
"311514/US",2.5635e+10
"31151A/US",5.2565e+10
"311520/US",1.0326e+10
"311615/US",8.0627e+10
"31161A/US",1.98741e+11
"311700/US",1.5451e+10
"311810/US",4.7547e+10
"3118A0/US",3.1263e+10
"311910/US",4.1606e+10
"311920/US",1.2912e+10
"311930/US",1.1843e+10
"311940/US",2.7183e+10
"311990/US",3.7332e+10
"312110/US",4.8008e+10
"312120/US",3.5138e+10
"312130/US",2.6152e+10
"312140/US",2.3115e+10
"312200/US",7.7319e+10
"313100/US",6.42e+09
"313200/US",1.3341e+10
"313300/US",7.509e+09
"314110/US",9.445e+09
"314120/US",3.982e+09
"314900/US",1.1798e+10
"315000/US",1.1113e+10
"316000/US",8.577e+09
"322110/US",7.057e+09
"322120/US",3.6545e+10
"322130/US",3.618e+10
"322210/US",7.4954e+10
"322220/US",2.3144e+10
"322230/US",4.981e+09
"322291/US",1.3796e+10
"322299/US",7.11e+09
"323110/US",8.3338e+10
"323120/US",3.413e+09
"324110/US",8.62285e+11
"324121/US",1.5505e+10
"324122/US",1.4824e+10
"324190/US",2.5722e+10
"325110/US",7.6801e+10
"325120/US",1.2457e+10
"325130/US",6.325e+09
"325180/US",3.7385e+10
"325190/US",1.423e+11
"325211/US",1.0975e+11
"3252A0/US",1.4399e+10
"325411/US",2.1985e+10
"325412/US",2.36123e+11
"325413/US",2.4201e+10
"325414/US",6.738e+10
"325310/US",2.9449e+10
"325320/US",1.9061e+10
"325510/US",3.1898e+10
"325520/US",1.8408e+10
"325610/US",4.5035e+10
"325620/US",4.6901e+10
"325910/US",4.507e+09
"3259A0/US",4.7369e+10
"326110/US",4.8406e+10
"326120/US",2.7462e+10
"326130/US",4.43e+09
"326140/US",1.1262e+10
"326150/US",1.419e+10
"326160/US",1.584e+10
"326190/US",1.30547e+11
"326210/US",2.4878e+10
"326220/US",6.843e+09
"326290/US",1.9371e+10
"423100/US",1.66644e+11
"423400/US",2.66599e+11
"423600/US",3.16088e+11
"423800/US",2.30586e+11
"423A00/US",4.45162e+11
"424200/US",2.75477e+11
"424400/US",2.32697e+11
"424700/US",2.192e+11
"424A00/US",4.89786e+11
"425000/US",4.6372e+10
"4200ID/US",1.02333e+11
"441000/US",4.83593e+11
"445000/US",3.35342e+11
"452000/US",3.09059e+11
"444000/US",2.11701e+11
"446000/US",1.24189e+11
"447000/US",1.80946e+11
"448000/US",1.78234e+11
"454000/US",6.10239e+11
"4B0000/US",2.76353e+11
"481000/US",3.12605e+11
"482000/US",9.4725e+10
"483000/US",5.4807e+10
"484000/US",5.84501e+11
"485000/US",1.06359e+11
"486000/US",6.9257e+10
"48A000/US",2.26892e+11
"492000/US",1.63057e+11
"493000/US",1.85385e+11
"511110/US",2.2817e+10
"511120/US",2.6959e+10
"511130/US",3.7175e+10
"5111A0/US",9.627e+09
"511200/US",4.63504e+11
"512100/US",1.65939e+11
"512200/US",3.1218e+10
"515100/US",1.25749e+11
"515200/US",1.15189e+11
"517110/US",3.47666e+11
"517210/US",3.19755e+11
"517A00/US",5.874e+10
"518200/US",3.61357e+11
"519130/US",3.60664e+11
"5191A0/US",1.1995e+10
"522A00/US",3.93293e+11
"52A000/US",8.67109e+11
"523900/US",4.97668e+11
"523A00/US",2.41819e+11
"524113/US",9.6595e+10
"5241XX/US",6.31876e+11
"524200/US",4.89161e+11
"525000/US",1.27837e+11
"531HSO/US",2.02119e+12
"531HST/US",6.10871e+11
"531ORE/US",1.744207e+12
"532100/US",8.9882e+10
"532400/US",1.35053e+11
"532A00/US",3.5247e+10
"533000/US",3.19254e+11
"541100/US",4.28121e+11
"541511/US",2.47818e+11
"541512/US",3.60128e+11
"54151A/US",6.2499e+10
"541200/US",2.36575e+11
"541300/US",4.43976e+11
"541610/US",3.71082e+11
"5416A0/US",7.8847e+10
"541700/US",4.39339e+11
"541800/US",1.93424e+11
"541400/US",5.5097e+10
"541920/US",1.3206e+10
"541940/US",6.6065e+10
"5419A0/US",1.16279e+11
"550000/US",7.55749e+11
"561300/US",6.03682e+11
"561700/US",2.99709e+11
"561100/US",8.9299e+10
"561200/US",3.6514e+10
"561400/US",9.7547e+10
"561500/US",7.2526e+10
"561600/US",7.9803e+10
"561900/US",8.3838e+10
"562000/US",1.619e+11
"611100/US",6.1748e+10
"611A00/US",2.51544e+11
"611B00/US",9.7259e+10
"621100/US",5.88139e+11
"621200/US",1.61085e+11
"621300/US",1.38189e+11
"621400/US",2.0142e+11
"621500/US",7.2851e+10
"621600/US",1.15026e+11
"621900/US",4.2602e+10
"622000/US",1.074625e+12
"623A00/US",2.21497e+11
"623B00/US",6.7659e+10
"624100/US",1.59976e+11
"624400/US",7.4146e+10
"624A00/US",6.5339e+10
"711100/US",3.5354e+10
"711200/US",5.587e+10
"711500/US",6.7339e+10
"711A00/US",7.6833e+10
"712000/US",2.3049e+10
"713100/US",3.4328e+10
"713200/US",4.5883e+10
"713900/US",1.20166e+11
"721000/US",3.22752e+11
"722110/US",5.26598e+11
"722211/US",4.94266e+11
"722A00/US",1.48971e+11
"811100/US",1.97333e+11
"811200/US",2.3011e+10
"811300/US",5.573e+10
"811400/US",2.7924e+10
"812100/US",9.3121e+10
"812200/US",2.8503e+10
"812300/US",3.2655e+10
"812900/US",9.392e+10
"813100/US",1.15391e+11
"813A00/US",8.074e+10
"813B00/US",1.1622e+11
"814000/US",2.5192e+10
"S00500/US",7.62096e+11
"S00600/US",5.74171e+11
"491000/US",7.8361e+10
"S00101/US",2.6557e+10
"S00102/US",8.875e+09
"GSLGE/US",1.347061e+12
"GSLGH/US",3.91834e+11
"GSLGO/US",1.250778e+12
"S00201/US",1.2305e+10
"S00202/US",8.2299e+10
"S00203/US",3.42584e+11
