"","2023IndustryOutput"
"1111A0/US",40174807960.7761
"1111B0/US",56380894807.5123
"111200/US",18978379246.4124
"111300/US",25502279035.4205
"111400/US",20783462480.4473
"111900/US",21936831995.4314
"112120/US",41077821417.3995
"1121A0/US",101306070094.692
"112300/US",46193356374.808
"112A00/US",33473818324.1748
"113000/US",22841155853.5026
"114000/US",7952663475.58404
"115000/US",25675648075.6878
"211000/US",391294361913.208
"212100/US",32766937147.9375
"212230/US",12579908507.0689
"2122A0/US",14586461916.4941
"212310/US",19719605275.2482
"2123A0/US",19742028373.6076
"213111/US",22389512275.9406
"21311A/US",85274684875.4435
"221100/US",405823514462.502
"221200/US",84121231218.972
"221300/US",15597588832.873
"233210/US",48348311562.8402
"233262/US",92718336451.453
"230301/US",206059204575.574
"230302/US",72659497911.7184
"2332A0/US",166305905561.216
"233412/US",102665581200.631
"2334A0/US",268770729640.59
"233230/US",118403379209.372
"2332D0/US",103374263706.93
"233240/US",116582472438.245
"233411/US",253866242389.81
"2332C0/US",135338387205.871
"321100/US",45946681251.6789
"321200/US",24912097682.9407
"321910/US",27530115153.7243
"3219A0/US",31729201026.1918
"327100/US",7988504971.04996
"327200/US",25803587300.7274
"327310/US",9100945231.81478
"327320/US",31547344844.3437
"327330/US",6129934559.47256
"327390/US",12193365583.3855
"327400/US",8278699959.44947
"327910/US",2960544640.90473
"327991/US",5199116831.93828
"327992/US",4927739697.39979
"327993/US",7950343554.93734
"327999/US",4351692644.09917
"331110/US",94574612703.2263
"331200/US",27058403121.2288
"331313/US",1654729479.56094
"33131B/US",33919380998.7572
"331410/US",8699741134.1008
"331420/US",24227890872.0061
"331490/US",10122126191.9771
"331510/US",15216731240.2773
"331520/US",11275524910.2827
"332114/US",4820275963.32107
"33211A/US",9742903754.04216
"332119/US",11405086050.2764
"332200/US",8459527597.45753
"332310/US",44060082907.5189
"332320/US",40175243910.5992
"332410/US",4029821680.71511
"332420/US",6086527977.41564
"332430/US",17354761601.9602
"332500/US",7517258024.24827
"332600/US",6144090629.15684
"332710/US",37402343555.2706
"332720/US",23984532910.7305
"332800/US",24574949048.8716
"332913/US",4913265060.99105
"33291A/US",22471571708.9572
"332991/US",4666053980.8735
"332996/US",5202592689.38816
"33299A/US",21658847744.8109
"332999/US",15039389059.8687
"333111/US",24730962730.9141
