MetaSources,ActivityProducedBy,IPCC/UNFCCC Category,US GHGI Table Name,Activity Category,  ,Activity Type
EPA_GHGI_T_2_1.carbonate_use,,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Carbonate Use
EPA_GHGI_T_2_1.direct,Abandoned Oil and Gas Wells,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Oil and Gas
EPA_GHGI_T_2_1.direct,Abandoned Underground Coal Mines,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Coal Production & Distribution
EPA_GHGI_T_2_1.direct,Adipic Acid Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Chemicals Production
EPA_GHGI_T_2_1.direct,Aluminum Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Metals Production
EPA_GHGI_T_2_1.direct,Ammonia Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Chemicals Production
EPA_GHGI_T_2_1.direct,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Chemicals Production
EPA_GHGI_T_2_1.direct,Carbide Production and Consumption,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Ceramics Production and Consumption
EPA_GHGI_T_2_1.direct,Cement Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Cement Production
EPA_GHGI_T_2_1.direct,Coal Mining,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Coal Production & Distribution
EPA_GHGI_T_2_1.direct,Composting,Waste,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Waste,Composting
EPA_GHGI_T_2_1.direct,Ferroalloy Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Metals Production
EPA_GHGI_T_2_1.direct,Glass Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Glass Production
EPA_GHGI_T_2_1.direct,Incineration of Waste,Energy,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Electric Power Generation,Waste,Incineration of Waste
EPA_GHGI_T_2_1.direct,Iron and Steel Production & Metallurgical Coke Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Metals Production
EPA_GHGI_T_2_1.direct,Landfills,Waste,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Waste,Landfills
EPA_GHGI_T_2_1.direct,Lime Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Chemicals Production
