Flowable,Gas Category
Carbon dioxide,Carbon dioxide
Carbon tetrafluoride,Fluorinated gases (F-Gases)
Hexafluoroethane,Fluorinated gases (F-Gases)
HFC-125,Fluorinated gases (F-Gases)
HFC-134a,Fluorinated gases (F-Gases)
HFC-143a,Fluorinated gases (F-Gases)
HFC-23,Fluorinated gases (F-Gases)
HFC-236fa,Fluorinated gases (F-Gases)
HFC-32,Fluorinated gases (F-Gases)
"HFCs and PFCs, unspecified",Fluorinated gases (F-Gases)
Methane,Methane
Nitrogen trifluoride,Fluorinated gases (F-Gases)
Nitrous oxide,Nitrous oxide
Perfluorobutane,Fluorinated gases (F-Gases)
Perfluorocyclobutane,Fluorinated gases (F-Gases)
Perfluorohexane,Fluorinated gases (F-Gases)
Perfluoropropane,Fluorinated gases (F-Gases)
Sulfur hexafluoride,Fluorinated gases (F-Gases)
