"","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1111A0/US",82.934,68.309,52.97,54.626,50.764,55.54,67.522,84.257,66.793,63.33,84.256,123.699,109.462,106.277,131.318,146.493,148.794,131.283,101.33,99.435,100,98.283,91.061,96.512,137.493,158.209
"1111B0/US",82.574,70.104,61.175,60.309,63.401,70.115,72.607,76.948,68.358,78.998,107.118,144.769,112.957,113.313,165.63,180.074,172.702,124.767,111.236,101.348,100,105.043,110.235,106.227,155.25,195.883
"111200/US",68.038,70.341,63.444,69.527,75.408,77.846,77.941,71.561,74.252,77.274,87.817,83.657,90.129,83.556,88.329,80.297,92.497,90.817,96.309,90.311,100,95.473,108.38,112.665,106.084,155.187
"111300/US",55.213,55.99,57.684,49.043,54.075,52.397,52.695,60.739,63.289,75.553,76.441,71.868,68.162,71.86,81.432,88.15,92.013,106.474,108.191,101.552,100,100.782,93.476,105.648,102.523,112.301
"111400/US",73.632,67.852,61.334,61.126,61.978,66.042,69.209,74.259,68.826,73.841,87.438,105.914,92.738,96.687,121.36,128.565,136.382,117.547,105.634,98.981,100,102.65,103.027,104.055,132.887,161.501
"111900/US",85.499,81.109,76.615,77.055,77.581,81.748,83.606,86.981,82.374,87.247,100.852,120.151,106.03,101.513,137.219,146.765,145.494,118.752,106.009,99.508,100,104.614,106.931,103.588,137.374,166.889
"112120/US",76.057,88.254,81.977,70.594,84.623,68.99,71.391,90.613,85.555,73.177,105.422,100.989,71.87,92.444,112.336,103.597,114.336,135.605,97.272,92.249,100,92.526,105.99,102.75,105.091,143.66
"1121A0/US",60.636,53.251,55.327,62.307,63.66,58.164,67.083,74.9,76.194,75.014,75.573,75.075,68.734,81.386,96.661,100.788,105.769,127.189,116.867,97.419,100,96.397,96.359,90.814,104.873,120.156
"112300/US",71.517,73.831,69.96,67.376,71.924,59.608,69.212,82.519,77.184,69.199,85.672,92.122,85.446,94.67,92.406,100.08,115.401,123.946,118.311,93.171,100,108.514,90.667,79.54,108.774,182.038
"112A00/US",62.018,55.988,57.462,63.068,65.089,59.157,67.467,75.818,76.787,74.884,77.503,76.988,70.114,82.722,97.045,100.816,106.096,126.161,115.082,97.103,100,97.19,96.455,91.421,105.008,122.578
"113000/US",89.442,86.83,84.391,82.127,76.584,75.48,76.269,81.123,82.983,84.548,91.353,90.943,79.245,89.826,96.005,97.173,98.934,101.291,100.567,99.594,100,103.538,99.983,99.918,109.525,115.185
"114000/US",63.867,61.87,65.841,69.494,60.731,59.633,62.588,66.006,69.84,75.2,78.85,89.911,85.179,93.1,92.829,93.657,97.698,100.159,93.207,97.11,100,103.969,104.569,102.757,121.587,138.244
"115000/US",67.17,68.092,67.823,69.636,64.469,64.341,66.333,68.492,71.989,74.925,77.934,78.284,82.022,85.393,87.579,89.048,92.801,95.932,97.658,97.649,100,99.769,103.368,104.245,103.284,112.708
