"","x"
"1111A0/US",3.792e+10
"1111B0/US",5.7261e+10
"111200/US",1.858e+10
"111300/US",2.9732e+10
"111400/US",1.9865e+10
"111900/US",2.4877e+10
"112120/US",3.8108e+10
"1121A0/US",8.7446e+10
"112300/US",4.4164e+10
"112A00/US",3.3236e+10
"113000/US",2.1323e+10
"114000/US",9.237e+09
"115000/US",2.9717e+10
"211000/US",212661999800
"212100/US",27807998600
"212230/US",11687994000
"2122A0/US",1.5628e+10
"212310/US",1.4479e+10
"2123A0/US",1.4879e+10
"213111/US",2.8579e+10
"21311A/US",8.9692e+10
"221100/US",455756932100
"221200/US",80203979800
"221300/US",80974938600
"233210/US",4.7122e+10
"233262/US",1.01181e+11
"230301/US",204424987000
"230302/US",8.4468e+10
"2332A0/US",1.69385e+11
"233412/US",7.9772e+10
"2334A0/US",2.52295e+11
"233230/US",7.0668e+10
"2332D0/US",1.2321e+11
"233240/US",1.23629e+11
"233411/US",2.7047e+11
"2332C0/US",1.43054e+11
"321100/US",35952999600
"321200/US",2.3987e+10
"321910/US",2.1934e+10
"3219A0/US",25209998400
"327100/US",8.35e+09
"327200/US",26223999300
"327310/US",8.07e+09
"327320/US",3.0657e+10
"327330/US",6.1e+09
"327390/US",12476984100
"327400/US",8069998500
"327910/US",4.721e+09
"327991/US",4.946e+09
"327992/US",4.07e+09
"327993/US",6175995200
"327999/US",5.101e+09
"331110/US",101970973600
"331200/US",9.247e+09
"331313/US",8817993500
"33131B/US",2.5546e+10
"331410/US",1.5475e+10
"331420/US",1.9928e+10
"331490/US",1.0555e+10
"331510/US",16489999600
"331520/US",1.2329e+10
"332114/US",6.716e+09
"33211A/US",13040987400
"332119/US",1.0943e+10
"332200/US",8748999900
"332310/US",43301965300
"332320/US",41392829100
"332410/US",6971974800
"332420/US",8053999900
"332430/US",17573999600
"332500/US",8727990700
"332600/US",5642992300
"332710/US",37044999000
"332720/US",29104997800
"332800/US",2.6119e+10
"332913/US",4468997800
"33291A/US",24108986600
"332991/US",5981988600
"332996/US",5.951e+09
"33299A/US",1.3063e+10
"332999/US",13901977200
"333111/US",24691981600
"333112/US",7.392e+09
"333120/US",32073936700
"333130/US",16947976500
"333242/US",1.4327e+10
"33329A/US",2.4421e+10
"333314/US",4.548e+09
"333316/US",1.18e+09
"333318/US",1.8332e+10
"333414/US",4380986500
"333415/US",32780957400
"333413/US",5833961300
"333511/US",6.386e+09
"333514/US",1.0305e+10
"333517/US",7.602e+09
"33351B/US",8.375e+09
"333611/US",12065981600
"333612/US",3028968100
"333613/US",4938932700
"333618/US",26160995100
"333912/US",8.893e+09
"333914/US",17401995600
"333920/US",28496937500
"333991/US",2.999e+09
"333993/US",6.731e+09
"333994/US",2.561e+09
"33399A/US",22638999000
"33399B/US",1.0656e+10
"334111/US",8.156e+09
"334112/US",4.11e+09
"334118/US",8077982200
"334210/US",5.267e+09
"334220/US",25921992000
"334290/US",4616998800
"334413/US",5.0454e+10
"334418/US",1.851e+10
"33441A/US",25317999800
"334510/US",3.1309e+10
"334511/US",4.9918e+10
"334512/US",2852997000
"334513/US",10342979400
"334514/US",5137975900
"334515/US",1.1226e+10
"334516/US",15533996600
"334517/US",8.962e+09
"33451A/US",1.1999e+10
"334300/US",3.096e+09
"334610/US",1920999900
"335110/US",1.378e+09
"335120/US",11519952000
"335210/US",3.31e+09
"335220/US",2.0481e+10
"335311/US",5.197e+09
"335312/US",8961995800
"335313/US",11164999800
"335314/US",10659999800
