"","x"
"1111A0/US",3.8216e+10
"1111B0/US",5.7878e+10
"111200/US",1.8805e+10
"111300/US",2.9952e+10
"111400/US",1.9868e+10
"111900/US",2.6575e+10
"112120/US",3.8542e+10
"1121A0/US",8.8049e+10
"112300/US",4.4567e+10
"112A00/US",3.3068e+10
"113000/US",1.8798e+10
"114000/US",8.934e+09
"115000/US",2.5648e+10
"211000/US",2.53995e+11
"212100/US",3.6918e+10
"212230/US",1.3614e+10
"2122A0/US",1.5937e+10
"212310/US",1.6752e+10
"2123A0/US",1.8631e+10
"213111/US",2.7006e+10
"21311A/US",7.992e+10
"221100/US",3.8943e+11
"221200/US",6.9549e+10
"221300/US",1.5132e+10
"233210/US",4.5023e+10
"233262/US",9.4784e+10
"230301/US",2.01127e+11
"230302/US",8.0559e+10
"2332A0/US",1.6025e+11
"233412/US",7.5094e+10
"2334A0/US",2.51134e+11
"233230/US",6.353e+10
"2332D0/US",1.14165e+11
"233240/US",1.02084e+11
"233411/US",2.54635e+11
"2332C0/US",1.35592e+11
"321100/US",3.301e+10
"321200/US",2.4571e+10
"321910/US",2.5656e+10
"3219A0/US",2.5217e+10
"327100/US",8.151e+09
"327200/US",2.6371e+10
"327310/US",8.36e+09
"327320/US",3.1702e+10
"327330/US",6.445e+09
"327390/US",1.2547e+10
"327400/US",8.115e+09
"327910/US",4.841e+09
"327991/US",5.027e+09
"327992/US",4.357e+09
"327993/US",6.294e+09
"327999/US",5.087e+09
"331110/US",8.8125e+10
"331200/US",2.2955e+10
"331314/US",5.902e+09
"331313/US",2.789e+09
"33131B/US",2.6965e+10
"331410/US",1.0259e+10
"331420/US",2.1939e+10
"331490/US",1.4054e+10
"331510/US",1.712e+10
"331520/US",1.2788e+10
"332114/US",6.79e+09
"33211A/US",1.2959e+10
"332119/US",1.1228e+10
"332200/US",9.472e+09
"332310/US",4.6781e+10
"332320/US",4.3519e+10
"332410/US",7.146e+09
"332420/US",8.393e+09
"332430/US",1.7958e+10
"332500/US",8.651e+09
"332600/US",9.203e+09
"332710/US",3.7935e+10
"332720/US",2.9579e+10
"332800/US",2.593e+10
"332913/US",4.857e+09
"33291A/US",2.6087e+10
"332991/US",6.196e+09
"332996/US",6.196e+09
"33299A/US",1.3486e+10
"332999/US",1.3879e+10
"333111/US",2.5071e+10
"333112/US",7.946e+09
"333120/US",3.2502e+10
"333130/US",1.7594e+10
"333242/US",8.842e+09
"33329A/US",3.1455e+10
"333314/US",4.909e+09
"333316/US",1.639e+09
"333318/US",1.9852e+10
"333414/US",4.459e+09
"333415/US",3.3273e+10
"333413/US",6.038e+09
"333511/US",6.597e+09
"333514/US",9.476e+09
"333517/US",7.892e+09
"33351B/US",8.997e+09
"333611/US",1.2999e+10
"333612/US",3.172e+09
"333613/US",4.974e+09
"333618/US",2.5655e+10
"333912/US",9.153e+09
"333914/US",1.7526e+10
"333920/US",3.0384e+10
"333991/US",3.359e+09
"333993/US",7.008e+09
"333994/US",2.656e+09
"33399A/US",2.3127e+10
"33399B/US",1.167e+10
"334111/US",1.9053e+10
"334112/US",5.299e+09
"334118/US",8.762e+09
"334210/US",7.91e+09
"334220/US",2.974e+10
"334290/US",5.454e+09
"334413/US",6.4243e+10
"334418/US",2.0049e+10
"33441A/US",3.0103e+10
"334510/US",3.3524e+10
"334511/US",5.3875e+10
"334512/US",3.194e+09
"334513/US",1.1474e+10
"334514/US",5.908e+09
"334515/US",1.2041e+10
"334516/US",1.5908e+10
"334517/US",9.525e+09
"33451A/US",1.3203e+10
"334300/US",3.117e+09
"334610/US",1.861e+09
"335110/US",1.494e+09
"335120/US",1.1973e+10
"335210/US",3.6e+09
"335220/US",1.9054e+10
"335311/US",5.349e+09
"335312/US",1.0289e+10
"335313/US",1.211e+10
"335314/US",1.0669e+10
"335911/US",7.507e+09
"335912/US",2.15e+09
"335920/US",1.1417e+10
"335930/US",1.433e+10
"335991/US",3.44e+09
"335999/US",1.083e+10
"336111/US",4.0027e+10
"336112/US",2.12844e+11
"336120/US",2.6188e+10
"336211/US",1.4901e+10
"336212/US",1.104e+10
"336213/US",5.564e+09
"336214/US",1.7699e+10
"336310/US",3.9901e+10
"336320/US",2.4052e+10
"336350/US",4.1977e+10
"336360/US",3.1793e+10
"336370/US",3.7922e+10
"336390/US",6.5771e+10
"3363A0/US",2.7472e+10
"336411/US",1.49598e+11
"336412/US",4.6688e+10
"336413/US",3.7149e+10
"336414/US",1.9796e+10
"33641A/US",9.507e+09
"336500/US",1.28e+10
"336611/US",2.5524e+10
"336612/US",1.0483e+10
"336991/US",7.581e+09
"336992/US",7.665e+09
"336999/US",8.773e+09
"337110/US",1.5062e+10
"337121/US",1.2312e+10
"337122/US",4.086e+09
"337127/US",4.914e+09
"33712N/US",3.374e+09
"337215/US",7.298e+09
"33721A/US",1.9025e+10
"337900/US",1.0182e+10
"339112/US",4.2971e+10
"339113/US",3.5133e+10
"339114/US",4.77e+09
"339115/US",6.481e+09
"339116/US",5.669e+09
"339910/US",7.958e+09
"339920/US",1.0396e+10
"339930/US",2.015e+09
"339940/US",2.855e+09
"339950/US",1.373e+10
"339990/US",2.6869e+10
"311111/US",2.329e+10
"311119/US",3.1693e+10
"311210/US",1.6415e+10
"311221/US",9.743e+09
"311225/US",9.488e+09
"311224/US",3.3182e+10
"311230/US",1.0138e+10
"311300/US",3.7054e+10
"311410/US",3.2473e+10
"311420/US",3.3531e+10
"311513/US",4.7882e+10
"311514/US",2.3879e+10
"31151A/US",4.3852e+10
"311520/US",7.794e+09
"311615/US",6.7557e+10
"31161A/US",1.48692e+11
"311700/US",1.3834e+10
"311810/US",4.3201e+10
"3118A0/US",2.6565e+10
"311910/US",3.8993e+10
"311920/US",1.3801e+10
"311930/US",1.1797e+10
"311940/US",2.1764e+10
"311990/US",2.9828e+10
"312110/US",4.5037e+10
"312120/US",3.2469e+10
"312130/US",2.207e+10
"312140/US",1.6288e+10
"312200/US",6.077e+10
"313100/US",7.08e+09
"313200/US",1.3277e+10
"313300/US",7.038e+09
"314110/US",9.752e+09
"314120/US",3.508e+09
"314900/US",9.038e+09
"315000/US",1.0876e+10
"316000/US",4.826e+09
"322110/US",6.823e+09
"322120/US",3.7738e+10
"322130/US",3.2839e+10
"322210/US",6.4744e+10
"322220/US",2.1463e+10
"322230/US",5.689e+09
"322291/US",1.1381e+10
"322299/US",4.605e+09
"323110/US",8.0734e+10
"323120/US",3.193e+09
"324110/US",4.94673e+11
"324121/US",1.3228e+10
"324122/US",1.0879e+10
"324190/US",2.0003e+10
"325110/US",5.421e+10
"325120/US",9.596e+09
"325130/US",6.98e+09
"325180/US",3.1505e+10
"325190/US",1.16368e+11
"325211/US",8.8716e+10
"3252A0/US",1.5149e+10
"325411/US",1.5005e+10
"325412/US",1.86428e+11
"325413/US",1.7622e+10
"325414/US",3.5964e+10
"325310/US",1.7154e+10
"325320/US",1.4909e+10
"325510/US",2.7874e+10
"325520/US",1.5043e+10
"325610/US",3.9628e+10
"325620/US",4.3254e+10
"325910/US",4.284e+09
"3259A0/US",4.2938e+10
"326110/US",3.923e+10
"326120/US",1.881e+10
"326130/US",4.463e+09
"326140/US",9.869e+09
"326150/US",1.0933e+10
"326160/US",1.113e+10
"326190/US",9.9643e+10
"326210/US",2.0044e+10
"326220/US",5.363e+09
"326290/US",1.827e+10
"423100/US",1.37969e+11
"423400/US",2.0855e+11
"423600/US",2.35736e+11
"423800/US",1.81446e+11
"423A00/US",2.86641e+11
"424200/US",2.14731e+11
"424400/US",1.75667e+11
"424700/US",1.50222e+11
"424A00/US",3.72469e+11
"425000/US",5.1911e+10
"4200ID/US",3.8513e+10
"441000/US",3.55732e+11
"445000/US",2.49244e+11
"452000/US",2.3393e+11
"444000/US",1.43187e+11
"446000/US",1.09927e+11
"447000/US",1.06628e+11
"448000/US",1.41032e+11
"454000/US",2.97029e+11
"4B0000/US",2.10221e+11
"481000/US",2.36303e+11
"482000/US",7.9573e+10
"483000/US",5.4974e+10
"484000/US",3.67149e+11
"485000/US",7.8298e+10
"486000/US",4.8073e+10
"48A000/US",1.41644e+11
"492000/US",9.7057e+10
"493000/US",1.23835e+11
"511110/US",2.61e+10
"511120/US",2.768e+10
"511130/US",3.8574e+10
"5111A0/US",1.0857e+10
"511200/US",2.82068e+11
"512100/US",1.32385e+11
"512200/US",1.8346e+10
"515100/US",9.4804e+10
"515200/US",1.08802e+11
"517110/US",3.47835e+11
"517210/US",2.61541e+11
"517A00/US",4.904e+10
"518200/US",1.76235e+11
"519130/US",1.80538e+11
"5191A0/US",8.453e+09
"522A00/US",4.01358e+11
"52A000/US",6.56556e+11
"523900/US",3.50232e+11
"523A00/US",1.99085e+11
"524113/US",9.1852e+10
"5241XX/US",5.88376e+11
"524200/US",3.62905e+11
"525000/US",1.57361e+11
"531HSO/US",1.553239e+12
"531HST/US",4.80394e+11
"531ORE/US",1.265028e+12
"532100/US",6.8745e+10
"532400/US",9.3318e+10
"532A00/US",2.9462e+10
"533000/US",1.57205e+11
"541100/US",3.54709e+11
"541511/US",1.54044e+11
"541512/US",2.72384e+11
"54151A/US",4.9603e+10
"541200/US",1.71516e+11
"541300/US",3.30566e+11
"541610/US",2.52632e+11
"5416A0/US",5.3429e+10
"541700/US",2.55399e+11
"541800/US",1.2968e+11
"541400/US",3.6173e+10
"541920/US",1.2935e+10
"541940/US",4.2619e+10
"5419A0/US",8.8352e+10
"550000/US",5.68617e+11
"561300/US",3.86619e+11
"561700/US",1.95969e+11
"561100/US",6.5089e+10
"561200/US",2.9658e+10
"561400/US",8.0328e+10
"561500/US",5.9098e+10
